area,ticket_date,waste_type,net_weight_kg,temperature (C),humidity (%),Holiday,,
Boralesgamuwa UC,16/01/2013,MSW,28840,27,67.5,0,,
Boralesgamuwa UC,17/01/2013,MSW,31340,26.75,67.5,0,,
Boralesgamuwa UC,18/01/2013,MSW,28600,26,71,0,,
Boralesgamuwa UC,19/01/2013,MSW,23080,25,76,0,,
Boralesgamuwa UC,20/01/2013,MSW,14170,26.75,74.5,0,,
Boralesgamuwa UC,21/01/2013,MSW,24690,29.33,71.5,0,,
Boralesgamuwa UC,22/01/2013,MSW,27980,27.5,65.5,0,,
Boralesgamuwa UC,23/01/2013,MSW,26020,27,75,0,,
Boralesgamuwa UC,24/01/2013,MSW,27290,26.75,78,0,,
Boralesgamuwa UC,25/01/2013,MSW,14340,27.25,72.5,1,,
Boralesgamuwa UC,26/01/2013,MSW,18440,27.5,74.5,1,,
Boralesgamuwa UC,27/01/2013,MSW,9570,28.25,63,0,,
Boralesgamuwa UC,28/01/2013,MSW,20340,28.25,59.5,0,,
Boralesgamuwa UC,29/01/2013,MSW,34490,27.75,61.5,0,,
Boralesgamuwa UC,30/01/2013,MSW,25920,28,58.5,0,,
Boralesgamuwa UC,31/01/2013,MSW,28630,27.25,58,0,,
Boralesgamuwa UC,01/02/2013,MSW,33660,27.5,67,0,,
Boralesgamuwa UC,02/02/2013,MSW,16030,28,70,0,,
Boralesgamuwa UC,03/02/2013,MSW,21810,28,69.5,0,,
Boralesgamuwa UC,04/02/2013,MSW,33090,27,73.5,1,,
Boralesgamuwa UC,05/02/2013,MSW,37200,28,69,0,,
Boralesgamuwa UC,06/02/2013,MSW,6290,24.67,90.5,0,,
Boralesgamuwa UC,07/02/2013,MSW,28890,26.25,81,0,,
Boralesgamuwa UC,08/02/2013,MSW,25300,27.25,83,0,,
Boralesgamuwa UC,09/02/2013,MSW,22910,27.25,82.5,0,,
Boralesgamuwa UC,10/02/2013,MSW,32100,27.5,77.5,0,,
Boralesgamuwa UC,11/02/2013,MSW,21050,27.75,72,0,,
Boralesgamuwa UC,12/02/2013,MSW,28210,26.25,77,0,,
Boralesgamuwa UC,13/02/2013,MSW,28610,25.75,85.5,0,,
Boralesgamuwa UC,14/02/2013,MSW,30090,26.25,83.5,0,,
Boralesgamuwa UC,15/02/2013,MSW,21730,26.5,80,0,,
Boralesgamuwa UC,16/02/2013,MSW,24910,28.25,79.5,0,,
Boralesgamuwa UC,17/02/2013,MSW,7450,28.25,79,0,,
Boralesgamuwa UC,18/02/2013,MSW,21720,27,77.5,0,,
Boralesgamuwa UC,19/02/2013,MSW,25590,26.5,78,0,,
Boralesgamuwa UC,20/02/2013,MSW,29510,27,82,0,,
Boralesgamuwa UC,21/02/2013,MSW,25240,28,67,0,,
Boralesgamuwa UC,22/02/2013,MSW,26470,27.5,69.5,0,,
Boralesgamuwa UC,23/02/2013,MSW,18960,27.5,65.5,0,,
Boralesgamuwa UC,24/02/2013,MSW,12170,27.75,72.5,0,,
Boralesgamuwa UC,25/02/2013,MSW,10130,27.75,77,1,,
Boralesgamuwa UC,26/02/2013,MSW,30810,27.75,78,0,,
Boralesgamuwa UC,27/02/2013,MSW,34560,27.5,72.5,0,,
Boralesgamuwa UC,28/02/2013,MSW,27410,27.5,72.5,0,,
Boralesgamuwa UC,01/03/2013,MSW,38630,27.75,69.5,0,,
Boralesgamuwa UC,02/03/2013,MSW,6640,27.5,73.5,0,,
Boralesgamuwa UC,03/03/2013,MSW,8650,27.75,69.5,0,,
Boralesgamuwa UC,04/03/2013,MSW,28020,27,79,0,,
Boralesgamuwa UC,05/03/2013,MSW,12950,28.25,74.5,0,,
Boralesgamuwa UC,06/03/2013,MSW,22370,28,79,0,,
Boralesgamuwa UC,07/03/2013,MSW,33300,27.25,75.5,0,,
Boralesgamuwa UC,08/03/2013,MSW,24890,26.5,77.5,0,,
Boralesgamuwa UC,09/03/2013,MSW,32160,26.75,78,0,,
Boralesgamuwa UC,10/03/2013,MSW,30400,28.5,77.5,1,,
Boralesgamuwa UC,11/03/2013,MSW,6660,28.75,79,0,,
Boralesgamuwa UC,12/03/2013,MSW,31170,28.75,74.5,0,,
Boralesgamuwa UC,13/03/2013,MSW,25720,29,73,0,,
Boralesgamuwa UC,14/03/2013,MSW,27500,28.75,72,0,,
Boralesgamuwa UC,15/03/2013,MSW,26540,28.5,78,0,,
Boralesgamuwa UC,16/03/2013,MSW,21020,28.25,77,0,,
Boralesgamuwa UC,17/03/2013,MSW,7160,28.75,77.5,0,,
Boralesgamuwa UC,18/03/2013,MSW,19580,28.25,76,0,,
Boralesgamuwa UC,19/03/2013,MSW,33550,28.75,75.5,0,,
Boralesgamuwa UC,20/03/2013,MSW,30120,29,74.5,0,,
Boralesgamuwa UC,21/03/2013,MSW,29090,29,75.5,0,,
Boralesgamuwa UC,22/03/2013,MSW,28600,28.5,76,0,,
Boralesgamuwa UC,23/03/2013,MSW,20120,28,76,0,,
Boralesgamuwa UC,24/03/2013,MSW,8520,26.25,82,0,,
Boralesgamuwa UC,25/03/2013,MSW,21380,26.25,84,0,,
Boralesgamuwa UC,26/03/2013,MSW,23620,28.25,77.5,1,,
Boralesgamuwa UC,27/03/2013,MSW,33380,27.25,79,0,,
Boralesgamuwa UC,28/03/2013,MSW,26380,29,77,0,,
Boralesgamuwa UC,29/03/2013,MSW,29490,28.5,81,1,,
Boralesgamuwa UC,30/03/2013,MSW,31730,29.5,77.5,0,,
Boralesgamuwa UC,31/03/2013,MSW,8930,30,78,0,,
Boralesgamuwa UC,01/04/2013,MSW,23180,29.75,78,0,,
Boralesgamuwa UC,02/04/2013,MSW,10540,29.25,79.5,0,,
Boralesgamuwa UC,03/04/2013,MSW,20250,29.75,76.5,0,,
Boralesgamuwa UC,04/04/2013,MSW,23340,29,82,0,,
Boralesgamuwa UC,05/04/2013,MSW,38580,29.25,77,0,,
Boralesgamuwa UC,06/04/2013,MSW,35500,30,77.5,0,,
Boralesgamuwa UC,07/04/2013,MSW,29940,30,78,0,,
Boralesgamuwa UC,08/04/2013,MSW,11580,29.75,78,0,,
Boralesgamuwa UC,09/04/2013,MSW,33110,29.25,79,0,,
Boralesgamuwa UC,10/04/2013,MSW,27250,27.75,81,0,,
Boralesgamuwa UC,11/04/2013,MSW,29970,28.25,79.5,0,,
Boralesgamuwa UC,12/04/2013,MSW,30330,29.5,75.5,0,,
Boralesgamuwa UC,13/04/2013,MSW,23650,29.5,78,1,,
Boralesgamuwa UC,14/04/2013,MSW,5330,29.5,76.5,1,,
Boralesgamuwa UC,15/04/2013,MSW,6650,27.25,88,0,,
Boralesgamuwa UC,16/04/2013,MSW,28140,28.75,80,0,,
Boralesgamuwa UC,17/04/2013,MSW,26400,30.67,77,0,,
Boralesgamuwa UC,18/04/2013,MSW,25870,30,7.5,0,,
Boralesgamuwa UC,19/04/2013,MSW,31600,30.25,72,0,,
Boralesgamuwa UC,20/04/2013,MSW,12880,30,69.5,0,,
Boralesgamuwa UC,21/04/2013,MSW,8410,29.5,76,0,,
Boralesgamuwa UC,22/04/2013,MSW,21600,29.75,75,0,,
Boralesgamuwa UC,23/04/2013,MSW,28780,29.25,76.5,0,,
Boralesgamuwa UC,24/04/2013,MSW,26350,29.5,76.5,0,,
Boralesgamuwa UC,25/04/2013,MSW,22790,29.25,78,1,,
Boralesgamuwa UC,26/04/2013,MSW,39240,29,79.5,0,,
Boralesgamuwa UC,27/04/2013,MSW,16950,29.25,74.5,0,,
Boralesgamuwa UC,28/04/2013,MSW,6040,30.25,73.5,0,,
Boralesgamuwa UC,29/04/2013,MSW,23630,30,75.5,0,,
Boralesgamuwa UC,30/04/2013,MSW,29220,29,78,0,,
Boralesgamuwa UC,01/05/2013,MSW,35480,28.5,81,1,,
Boralesgamuwa UC,02/05/2013,MSW,24250,29.5,94,0,,
Boralesgamuwa UC,03/05/2013,MSW,27520,26,83.5,0,,
Boralesgamuwa UC,04/05/2013,MSW,32450,28.5,86.5,0,,
Boralesgamuwa UC,05/05/2013,MSW,17340,27.5,91,0,,
Boralesgamuwa UC,06/05/2013,MSW,34910,26.5,81,0,,
Boralesgamuwa UC,07/05/2013,MSW,30150,28.25,82,0,,
Boralesgamuwa UC,08/05/2013,MSW,23870,29.33,75,0,,
Boralesgamuwa UC,09/05/2013,MSW,27230,30,73,0,,
Boralesgamuwa UC,10/05/2013,MSW,22170,30.25,76,0,,
Boralesgamuwa UC,11/05/2013,MSW,31710,30.25,77,0,,
Boralesgamuwa UC,12/05/2013,MSW,34740,30.25,79.5,0,,
Boralesgamuwa UC,13/05/2013,MSW,20520,28.75,75.5,0,,
Boralesgamuwa UC,14/05/2013,MSW,33650,29.5,69.5,0,,
Boralesgamuwa UC,15/05/2013,MSW,30530,30,72.5,0,,
Boralesgamuwa UC,16/05/2013,MSW,36090,30,73.5,0,,
Boralesgamuwa UC,17/05/2013,MSW,27400,30,75.5,0,,
Boralesgamuwa UC,18/05/2013,MSW,21940,29.75,80.5,0,,
Boralesgamuwa UC,19/05/2013,MSW,8180,29,93.5,0,,
Boralesgamuwa UC,20/05/2013,MSW,16650,26,80.5,0,,
Boralesgamuwa UC,21/05/2013,MSW,38690,28.25,79,0,,
Boralesgamuwa UC,22/05/2013,MSW,28590,29.25,81.5,0,,
Boralesgamuwa UC,23/05/2013,MSW,29830,29,79.5,0,,
Boralesgamuwa UC,24/05/2013,MSW,23390,29,80.5,1,,
Boralesgamuwa UC,25/05/2013,MSW,21090,28.25,74.5,1,,
Boralesgamuwa UC,26/05/2013,MSW,12700,29,75,0,,
Boralesgamuwa UC,27/05/2013,MSW,33070,29,75.5,0,,
Boralesgamuwa UC,28/05/2013,MSW,39960,29.5,75.5,0,,
Boralesgamuwa UC,29/05/2013,MSW,28120,28.5,78,0,,
Boralesgamuwa UC,30/05/2013,MSW,30060,28.5,79.5,0,,
Boralesgamuwa UC,31/05/2013,MSW,19550,26.25,93.5,0,,
Boralesgamuwa UC,01/06/2013,MSW,15950,26.25,91,0,,
Boralesgamuwa UC,02/06/2013,MSW,37050,26,81,0,,
Boralesgamuwa UC,03/06/2013,MSW,20630,28,76.5,0,,
Boralesgamuwa UC,04/06/2013,MSW,22630,28.5,76.5,0,,
Boralesgamuwa UC,05/06/2013,MSW,25350,28.25,80.5,0,,
Boralesgamuwa UC,06/06/2013,MSW,29870,28.25,81,0,,
Boralesgamuwa UC,07/06/2013,MSW,24250,28,84.5,0,,
Boralesgamuwa UC,08/06/2013,MSW,31970,24.75,87,0,,
Boralesgamuwa UC,09/06/2013,MSW,16720,27.75,82,0,,
Boralesgamuwa UC,10/06/2013,MSW,7770,32,61.5,0,,
Boralesgamuwa UC,11/06/2013,MSW,37120,28.25,76.5,0,,
Boralesgamuwa UC,12/06/2013,MSW,29390,25.33,90.5,0,,
Boralesgamuwa UC,13/06/2013,MSW,31900,27.75,79.5,0,,
Boralesgamuwa UC,14/06/2013,MSW,33110,28.75,80,0,,
Boralesgamuwa UC,15/06/2013,MSW,28900,28,79.5,0,,
Boralesgamuwa UC,16/06/2013,MSW,12820,27.5,80,0,,
Boralesgamuwa UC,17/06/2013,MSW,23400,26.75,83.5,0,,
Boralesgamuwa UC,18/06/2013,MSW,34630,27.67,83,0,,
Boralesgamuwa UC,19/06/2013,MSW,27020,27.75,79.5,0,,
Boralesgamuwa UC,20/06/2013,MSW,31570,27.75,77,0,,
Boralesgamuwa UC,21/06/2013,MSW,29610,28.25,77.5,0,,
Boralesgamuwa UC,22/06/2013,MSW,23630,28,76.5,0,,
Boralesgamuwa UC,23/06/2013,MSW,6370,27.75,79.5,1,,
Boralesgamuwa UC,24/06/2013,MSW,24960,28,79.5,0,,
Boralesgamuwa UC,25/06/2013,MSW,24120,26.25,86.5,0,,
Boralesgamuwa UC,26/06/2013,MSW,32040,26.75,84,0,,
Boralesgamuwa UC,27/06/2013,MSW,26560,28.5,81,0,,
Boralesgamuwa UC,28/06/2013,MSW,21890,26.25,89.5,0,,
Boralesgamuwa UC,29/06/2013,MSW,40190,27,86,0,,
Boralesgamuwa UC,30/06/2013,MSW,13800,27.25,85,0,,
Boralesgamuwa UC,01/07/2013,MSW,23490,27.5,78,0,,
Boralesgamuwa UC,02/07/2013,MSW,37050,27.75,77.5,0,,
Boralesgamuwa UC,03/07/2013,MSW,25570,28,77.5,0,,
Boralesgamuwa UC,04/07/2013,MSW,9440,28.75,78.5,0,,
Boralesgamuwa UC,05/07/2013,MSW,37800,28.5,78.5,0,,
Boralesgamuwa UC,06/07/2013,MSW,30770,28.25,78,0,,
Boralesgamuwa UC,07/07/2013,MSW,14910,28,79.5,0,,
Boralesgamuwa UC,08/07/2013,MSW,29590,28,77.5,0,,
Boralesgamuwa UC,09/07/2013,MSW,29480,27.25,82.5,0,,
Boralesgamuwa UC,10/07/2013,MSW,31040,27.25,79,0,,
Boralesgamuwa UC,11/07/2013,MSW,29490,28.14,75,0,,
Boralesgamuwa UC,12/07/2013,MSW,15990,28.71,78,0,,
Boralesgamuwa UC,13/07/2013,MSW,19480,28.29,76,0,,
Boralesgamuwa UC,14/07/2013,MSW,9190,28.29,77,0,,
Boralesgamuwa UC,15/07/2013,MSW,25510,28.33,78.5,0,,
Boralesgamuwa UC,16/07/2013,MSW,29290,27.29,84.5,0,,
Boralesgamuwa UC,17/07/2013,MSW,28670,28.6,83.5,0,,
Boralesgamuwa UC,18/07/2013,MSW,21520,25,89.5,0,,
Boralesgamuwa UC,19/07/2013,MSW,35470,27.25,84.5,0,,
Boralesgamuwa UC,20/07/2013,MSW,28350,27.5,82,0,,
Boralesgamuwa UC,21/07/2013,MSW,11350,27.5,79.5,0,,
Boralesgamuwa UC,22/07/2013,MSW,16100,25.75,86,1,,
Boralesgamuwa UC,23/07/2013,MSW,36770,25.5,85.5,0,,
Boralesgamuwa UC,24/07/2013,MSW,33730,26.25,83,0,,
Boralesgamuwa UC,25/07/2013,MSW,33060,27.33,82.5,0,,
Boralesgamuwa UC,26/07/2013,MSW,26370,24,89.5,0,,
Boralesgamuwa UC,27/07/2013,MSW,20780,27.75,80.5,0,,
Boralesgamuwa UC,28/07/2013,MSW,17480,27.75,80.5,0,,
Boralesgamuwa UC,29/07/2013,MSW,25550,28.5,73,0,,
Boralesgamuwa UC,30/07/2013,MSW,36640,28.67,74,0,,
Boralesgamuwa UC,31/07/2013,MSW,31210,28.75,78.5,0,,
Boralesgamuwa UC,01/08/2013,MSW,28430,29,78.5,0,,
Boralesgamuwa UC,02/08/2013,MSW,27130,28.25,79,0,,
Boralesgamuwa UC,03/08/2013,MSW,26630,28.5,77.5,0,,
Boralesgamuwa UC,04/08/2013,MSW,23160,26.67,82,0,,
Boralesgamuwa UC,05/08/2013,MSW,34190,27,79.5,0,,
Boralesgamuwa UC,06/08/2013,MSW,23160,27.75,74,0,,
Boralesgamuwa UC,07/08/2013,MSW,21810,27.25,76,0,,
Boralesgamuwa UC,08/08/2013,MSW,35170,27.75,77,0,,
Boralesgamuwa UC,09/08/2013,MSW,16870,27.75,77.5,1,,
Boralesgamuwa UC,10/08/2013,MSW,38370,26.67,85,0,,
Boralesgamuwa UC,11/08/2013,MSW,25910,27.25,84,0,,
Boralesgamuwa UC,12/08/2013,MSW,16550,27.5,81,0,,
Boralesgamuwa UC,13/08/2013,MSW,28040,28.5,75,0,,
Boralesgamuwa UC,14/08/2013,MSW,30000,27.5,78,0,,
Boralesgamuwa UC,15/08/2013,MSW,25170,28.25,78,0,,
Boralesgamuwa UC,16/08/2013,MSW,25130,28,78,0,,
Boralesgamuwa UC,17/08/2013,MSW,22050,28.25,77.5,0,,
Boralesgamuwa UC,18/08/2013,MSW,13350,27.75,80.5,0,,
Boralesgamuwa UC,19/08/2013,MSW,19100,28.25,78.5,0,,
Boralesgamuwa UC,20/08/2013,MSW,19970,28.75,77,1,,
Boralesgamuwa UC,21/08/2013,MSW,32050,28.25,78,0,,
Boralesgamuwa UC,22/08/2013,MSW,26820,28,77,0,,
Boralesgamuwa UC,23/08/2013,MSW,33470,28.25,78.5,0,,
Boralesgamuwa UC,24/08/2013,MSW,19400,28.25,75.5,0,,
Boralesgamuwa UC,25/08/2013,MSW,14270,28.5,74.5,0,,
Boralesgamuwa UC,26/08/2013,MSW,9620,28.5,75.5,0,,
Boralesgamuwa UC,27/08/2013,MSW,34340,28.2,79,0,,
Boralesgamuwa UC,28/08/2013,MSW,32950,28.29,80,0,,
Boralesgamuwa UC,29/08/2013,MSW,27920,26.33,90.5,0,,
Boralesgamuwa UC,30/08/2013,MSW,31380,27.75,88,0,,
Boralesgamuwa UC,31/08/2013,MSW,18540,29,73,0,,
Boralesgamuwa UC,01/09/2013,MSW,40630,27.33,82.5,0,,
Boralesgamuwa UC,02/09/2013,MSW,22060,27.33,80.5,0,,
Boralesgamuwa UC,03/09/2013,MSW,26380,27,81,0,,
Boralesgamuwa UC,04/09/2013,MSW,34590,26.67,81,0,,
Boralesgamuwa UC,05/09/2013,MSW,32030,25.67,88,0,,
Boralesgamuwa UC,06/09/2013,MSW,13650,25,92,0,,
Boralesgamuwa UC,07/09/2013,MSW,22720,27.25,80.5,0,,
Boralesgamuwa UC,08/09/2013,MSW,23760,28,77,0,,
Boralesgamuwa UC,09/09/2013,MSW,27150,28,74.5,0,,
Boralesgamuwa UC,10/09/2013,MSW,32740,27,82,0,,
Boralesgamuwa UC,11/09/2013,MSW,32710,26.33,85,0,,
Boralesgamuwa UC,12/09/2013,MSW,25980,26.75,84.5,0,,
Boralesgamuwa UC,13/09/2013,MSW,26510,27,86,0,,
Boralesgamuwa UC,14/09/2013,MSW,21590,27,83.5,0,,
Boralesgamuwa UC,15/09/2013,MSW,12530,28.25,77,0,,
Boralesgamuwa UC,16/09/2013,MSW,24440,27.5,83,0,,
Boralesgamuwa UC,17/09/2013,MSW,37540,26.5,85,0,,
Boralesgamuwa UC,18/09/2013,MSW,31900,26.5,90,0,,
Boralesgamuwa UC,19/09/2013,MSW,24820,28.5,80,1,,
Boralesgamuwa UC,20/09/2013,MSW,31080,28,79,0,,
Boralesgamuwa UC,21/09/2013,MSW,22930,27.67,78,0,,
Boralesgamuwa UC,22/09/2013,MSW,11700,28.25,76,0,,
Boralesgamuwa UC,23/09/2013,MSW,27700,28.5,74,0,,
Boralesgamuwa UC,24/09/2013,MSW,30880,30.75,61.5,0,,
Boralesgamuwa UC,25/09/2013,MSW,33110,28.75,73,0,,
Boralesgamuwa UC,26/09/2013,MSW,28450,28,76,0,,
Boralesgamuwa UC,27/09/2013,MSW,27650,29.33,72.5,0,,
Boralesgamuwa UC,28/09/2013,MSW,25250,28.75,78.5,0,,
Boralesgamuwa UC,29/09/2013,MSW,9690,28.33,73.5,0,,
Boralesgamuwa UC,30/09/2013,MSW,22680,28,76.5,0,,
Boralesgamuwa UC,01/10/2013,MSW,27680,27.75,82.5,0,,
Boralesgamuwa UC,02/10/2013,MSW,9630,28.75,75,0,,
Boralesgamuwa UC,03/10/2013,MSW,13310,29,72.5,0,,
Boralesgamuwa UC,04/10/2013,MSW,32240,28,77.5,0,,
Boralesgamuwa UC,05/10/2013,MSW,26120,27.25,81.5,0,,
Boralesgamuwa UC,06/10/2013,MSW,21240,26.33,77.5,0,,
Boralesgamuwa UC,07/10/2013,MSW,22870,28.5,78,0,,
Boralesgamuwa UC,08/10/2013,MSW,16400,29.33,71,0,,
Boralesgamuwa UC,09/10/2013,MSW,32680,29,69.5,0,,
Boralesgamuwa UC,10/10/2013,MSW,29380,27.33,84,0,,
Boralesgamuwa UC,11/10/2013,MSW,12070,28,77.5,0,,
Boralesgamuwa UC,12/10/2013,MSW,26820,28.5,78,0,,
Boralesgamuwa UC,13/10/2013,MSW,11540,28,79,0,,
Boralesgamuwa UC,14/10/2013,MSW,31460,28.5,80.5,0,,
Boralesgamuwa UC,15/10/2013,MSW,31700,28.75,78,0,,
Boralesgamuwa UC,16/10/2013,MSW,30880,28.33,78,1,,
Boralesgamuwa UC,17/10/2013,MSW,30960,26.75,84,0,,
Boralesgamuwa UC,18/10/2013,MSW,27470,25.33,88.5,1,,
Boralesgamuwa UC,19/10/2013,MSW,23300,25.33,90,0,,
Boralesgamuwa UC,20/10/2013,MSW,13350,26.5,84,0,,
Boralesgamuwa UC,21/10/2013,MSW,32160,28.5,74.5,0,,
Boralesgamuwa UC,22/10/2013,MSW,35040,28.5,79,0,,
Boralesgamuwa UC,23/10/2013,MSW,33330,29,76,0,,
Boralesgamuwa UC,24/10/2013,MSW,29520,28.25,80,0,,
Boralesgamuwa UC,25/10/2013,MSW,34600,27.75,79,0,,
Boralesgamuwa UC,26/10/2013,MSW,25160,27.5,79,0,,
Boralesgamuwa UC,27/10/2013,MSW,5790,28.25,81,0,,
Boralesgamuwa UC,28/10/2013,MSW,31740,28.25,79.5,0,,
Boralesgamuwa UC,29/10/2013,MSW,33120,27.5,80.5,0,,
Boralesgamuwa UC,30/10/2013,MSW,35710,26.5,83.5,0,,
Boralesgamuwa UC,31/10/2013,MSW,29050,25.8,82.5,0,,
Boralesgamuwa UC,01/11/2013,MSW,32460,27.25,82,0,,
Boralesgamuwa UC,02/11/2013,MSW,25000,25.5,81.5,1,,
Boralesgamuwa UC,03/11/2013,MSW,21800,27,84,0,,
Boralesgamuwa UC,04/11/2013,MSW,36900,27.33,85,0,,
Boralesgamuwa UC,05/11/2013,MSW,20780,29,73.5,0,,
Boralesgamuwa UC,06/11/2013,MSW,31570,27.25,79,0,,
Boralesgamuwa UC,07/11/2013,MSW,39950,27,78,0,,
Boralesgamuwa UC,08/11/2013,MSW,9800,27.5,80.5,0,,
Boralesgamuwa UC,09/11/2013,MSW,28570,27.75,79,0,,
Boralesgamuwa UC,10/11/2013,MSW,26970,27.25,81,0,,
Boralesgamuwa UC,11/11/2013,MSW,28710,27.5,78.5,0,,
Boralesgamuwa UC,12/11/2013,MSW,30080,27.75,78,0,,
Boralesgamuwa UC,13/11/2013,MSW,33690,26.75,79,0,,
Boralesgamuwa UC,14/11/2013,MSW,35790,27.5,74.5,0,,
Boralesgamuwa UC,15/11/2013,MSW,26140,27.25,71.5,0,,
Boralesgamuwa UC,16/11/2013,MSW,26790,27.75,75.5,0,,
Boralesgamuwa UC,17/11/2013,MSW,13880,28,75,1,,
Boralesgamuwa UC,18/11/2013,MSW,25880,27.5,76,0,,
Boralesgamuwa UC,19/11/2013,MSW,33130,27,78,0,,
Boralesgamuwa UC,20/11/2013,MSW,29530,27.5,76,0,,
Boralesgamuwa UC,21/11/2013,MSW,31940,28,78.5,0,,
Boralesgamuwa UC,22/11/2013,MSW,25740,27.75,79.5,0,,
Boralesgamuwa UC,23/11/2013,MSW,20660,27,77.5,0,,
Boralesgamuwa UC,24/11/2013,MSW,12140,26.5,84.5,0,,
Boralesgamuwa UC,25/11/2013,MSW,31600,26.75,83.5,0,,
Boralesgamuwa UC,26/11/2013,MSW,33460,27,82,0,,
Boralesgamuwa UC,27/11/2013,MSW,24140,27.75,71,0,,
Boralesgamuwa UC,28/11/2013,MSW,27880,27.5,75,0,,
Boralesgamuwa UC,29/11/2013,MSW,29010,27.75,76,0,,
Boralesgamuwa UC,30/11/2013,MSW,31650,26.25,77,0,,
Boralesgamuwa UC,01/12/2013,MSW,23780,26.25,77.5,0,,
Boralesgamuwa UC,02/12/2013,MSW,26700,26.75,79.5,0,,
Boralesgamuwa UC,03/12/2013,MSW,32710,27,71.5,0,,
Boralesgamuwa UC,04/12/2013,MSW,31110,27,75.5,0,,
Boralesgamuwa UC,05/12/2013,MSW,7050,26.25,79.5,0,,
Boralesgamuwa UC,06/12/2013,MSW,35170,26.75,79,0,,
Boralesgamuwa UC,07/12/2013,MSW,40070,27,76.5,0,,
Boralesgamuwa UC,08/12/2013,MSW,26560,27.25,74.5,0,,
Boralesgamuwa UC,09/12/2013,MSW,31100,27.25,75.5,0,,
Boralesgamuwa UC,10/12/2013,MSW,30070,26.75,78.5,0,,
Boralesgamuwa UC,11/12/2013,MSW,42140,27.5,76,0,,
Boralesgamuwa UC,12/12/2013,MSW,28060,27.75,79,0,,
Boralesgamuwa UC,13/12/2013,MSW,29970,27,78,0,,
Boralesgamuwa UC,14/12/2013,MSW,26500,27.33,79,0,,
Boralesgamuwa UC,15/12/2013,MSW,14900,25,83.5,0,,
Boralesgamuwa UC,16/12/2013,MSW,18070,26,75.5,1,,
Boralesgamuwa UC,17/12/2013,MSW,33440,26.14,67.5,0,,
Boralesgamuwa UC,18/12/2013,MSW,37480,27.86,70,0,,
Boralesgamuwa UC,19/12/2013,MSW,27820,26.4,73,0,,
Boralesgamuwa UC,20/12/2013,MSW,22570,27.57,73.5,0,,
Boralesgamuwa UC,21/12/2013,MSW,20170,27.43,72,0,,
Boralesgamuwa UC,22/12/2013,MSW,13000,27.57,69.5,0,,
Boralesgamuwa UC,23/12/2013,MSW,25940,27.71,62,0,,
Boralesgamuwa UC,24/12/2013,MSW,27410,27.43,74,0,,
Boralesgamuwa UC,25/12/2013,MSW,37100,27.29,70,1,,
Boralesgamuwa UC,26/12/2013,MSW,30380,27,69,0,,
Boralesgamuwa UC,27/12/2013,MSW,29900,27,69.5,0,,
Boralesgamuwa UC,28/12/2013,MSW,23680,27.43,66.5,0,,
Boralesgamuwa UC,29/12/2013,MSW,11640,27,60,0,,
Boralesgamuwa UC,30/12/2013,MSW,22870,27.29,63.5,0,,
Boralesgamuwa UC,31/12/2013,MSW,36200,28.29,65,0,,
Boralesgamuwa UC,01/01/2014,MSW,24220,30.17,88.06,0,,
Boralesgamuwa UC,02/01/2014,MSW,21190,32.58,60.08,0,,
Boralesgamuwa UC,03/01/2014,MSW,25150,24.69,82.28,0,,
Boralesgamuwa UC,04/01/2014,MSW,32930,25.04,75.16,0,,
Boralesgamuwa UC,05/01/2014,MSW,18560,23.68,87.44,0,,
Boralesgamuwa UC,06/01/2014,MSW,12900,29.67,90.9,0,,
Boralesgamuwa UC,07/01/2014,MSW,33060,26.3,88.26,0,,
Boralesgamuwa UC,08/01/2014,MSW,34230,32.73,61.88,0,,
Boralesgamuwa UC,09/01/2014,MSW,39620,28.6,71.86,0,,
Boralesgamuwa UC,10/01/2014,MSW,36270,27.64,79.99,0,,
Boralesgamuwa UC,11/01/2014,MSW,38330,31.66,71.4,0,,
Boralesgamuwa UC,12/01/2014,MSW,29080,32.5,81.06,0,,
Boralesgamuwa UC,13/01/2014,MSW,26710,25.07,65.11,0,,
Boralesgamuwa UC,14/01/2014,MSW,27690,31.15,62.62,1,,
Boralesgamuwa UC,15/01/2014,MSW,31620,29.19,90.37,1,,
Boralesgamuwa UC,16/01/2014,MSW,23330,31,71.18,0,,
Boralesgamuwa UC,17/01/2014,MSW,25420,24.69,65.86,0,,
Boralesgamuwa UC,18/01/2014,MSW,30100,25.5,61.32,0,,
Boralesgamuwa UC,19/01/2014,MSW,17460,24.81,88.79,0,,
Boralesgamuwa UC,20/01/2014,MSW,22700,24.96,61.49,0,,
Boralesgamuwa UC,21/01/2014,MSW,33750,28.68,73.27,0,,
Boralesgamuwa UC,22/01/2014,MSW,32440,26.71,70.45,0,,
Boralesgamuwa UC,23/01/2014,MSW,27670,27.42,90.64,0,,
Boralesgamuwa UC,24/01/2014,MSW,21650,27.3,66.23,0,,
Boralesgamuwa UC,25/01/2014,MSW,17340,28.14,61.86,0,,
Boralesgamuwa UC,26/01/2014,MSW,12240,29.27,94.26,0,,
Boralesgamuwa UC,27/01/2014,MSW,24790,28.36,85.35,0,,
Boralesgamuwa UC,28/01/2014,MSW,29080,28.76,67.05,0,,
Boralesgamuwa UC,29/01/2014,MSW,32710,32.53,86.95,0,,
Boralesgamuwa UC,30/01/2014,MSW,27890,25.16,89.22,0,,
Boralesgamuwa UC,31/01/2014,MSW,24540,26.79,62.81,0,,
